FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
236,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5950737,31.31205651
237,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5901364,31.31130168
238,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5864948,31.3095174
239,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5868028,31.27332569
240,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.587399,31.26839869
241,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5960407,31.27840097
242,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5915918,31.27613414
243,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5873845,31.27733183
244,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5903457,31.33751099
245,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5877384,31.33370578
246,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5919002,31.3309548
247,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5985248,31.27302206
248,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5936679,31.27213226
249,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5887715,31.27133063
250,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5959883,31.30602933
251,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5910095,31.30556906
252,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5872864,31.30417793
253,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5947054,31.28058939
254,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.589996,31.27890971
255,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5988087,31.26747904
256,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5938378,31.26694009
257,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5881371,31.26516062
258,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5918669,31.26284046
259,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5968602,31.26258195
260,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6002147,31.30165223
261,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.595257,31.30100365
262,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5902992,31.30035507
263,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.588111,31.29906036
264,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6006939,31.30008612
265,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5975274,31.29631889
266,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5929572,31.29432659
267,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5902914,31.29259598
268,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5908866,31.34700105
269,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.591549,31.33450254
270,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5913479,31.34006981
271,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5998449,31.33851365
272,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5948571,31.33816513
273,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5988453,31.34204755
274,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5938882,31.34139374
275,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5923845,31.3328998
276,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6064137,31.29216783
277,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6015102,31.29121454
278,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5966759,31.28995709
279,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5943626,31.28752519
280,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5952463,31.28260927
281,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6009728,31.33338728
282,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5960517,31.33251342
283,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6004087,31.33122603
284,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5955112,31.3308648
285,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.598898,31.32480981
286,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5965619,31.32049383
287,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6000859,31.32950367
288,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5958472,31.32759333
289,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6089386,31.31834286
290,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.603995,31.31763505
291,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.599124,31.316632
292,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5956956,31.31501408
293,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5982967,31.2817854
294,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5961938,31.28001975
295,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5963109,31.31129812
296,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6102582,31.31229475
297,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6053087,31.31158864
298,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6004139,31.31058998
299,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6012261,31.3064912
300,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.598428,31.27908169
301,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5978294,31.27781247
302,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5986416,31.34544809
303,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5995068,31.27816966
304,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5993624,31.27552561
305,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6071085,31.28471371
306,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6023628,31.28313947
307,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5994286,31.28097174
308,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5995648,31.27209857
309,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6081393,31.28031073
310,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6031782,31.27968844
311,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6005725,31.25497551
312,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6055725,31.25498514
313,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6001344,31.26149522
314,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5994572,31.25665249
315,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.600196,31.25177732
316,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6026401,31.2474181
317,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.604519,31.24279343
318,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6088403,31.27415609
319,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.603868,31.27363709
320,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.601023,31.32842275
321,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6004707,31.32483268
322,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5998799,31.2665525
323,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6093649,31.26878062
324,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6044071,31.26813264
325,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6083834,31.34284237
326,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.6033995,31.34253773
